Menu Item,Menu Item-stem,ID
hangover,['hangov'],24
chango,['chango'],4
tunacado,['tunacado'],74
chickencado,['chickencado'],6
spicy tuna,"['spici', 'tuna']",64
mozzato,['mozzato'],49
spicy chicken,"['spici', 'chicken']",62
parmella,['parmella'],55
pescado,['pescado'],57
chickencurry,['chickencurri'],8
spicy vegan,"['spici', 'vegan']",66
hangover lítil,"['hangov', 'lítil']",25
chango lítil,"['chango', 'lítil']",5
tunacado lítil,"['tunacado', 'lítil']",75
chickencado lítil,"['chickencado', 'lítil']",7
spicy tuna lítil,"['spici', 'tuna', 'lítil']",65
mozzato lítil,"['mozzato', 'lítil']",50
spicy chicken lítil,"['spici', 'chicken', 'lítil']",63
parmella lítil,"['parmella', 'lítil']",56
pescado lítil,"['pescado', 'lítil']",58
chickencurry lítil,"['chickencurri', 'lítil']",9
spicy vegan lítil,"['spici', 'vegan', 'lítil']",67
hafragrautur með eplum ,"['hafragrautur', 'með', 'eplum']",22
hafragrautur með granóla,"['hafragrautur', 'með', 'granóla']",23
lítil samloka,"['lítil', 'samloka']",45
kjöt,['kjöt'],41
avócadó,['avócadó'],0
mozarella,['mozarella'],48
tabasco,['tabasco'],69
próteinduft,['próteinduft'],61
ávextir grænmeti,"['ávextir', 'grænmeti']",83
gjafabréf,['gjafabréf'],17
stór poki,"['stór', 'poki']",68
lítil poki,"['lítil', 'poki']",44
good times lítil,"['good', 'time', 'lítil']",19
dazed lítil,"['daze', 'lítil']",13
winston wolf lítil,"['winston', 'wolf', 'lítil']",82
nice guy lítil,"['nice', 'guy', 'lítil']",54
honey bunny lítil,"['honey', 'bunni', 'lítil']",29
presley lítil,"['presley', 'lítil']",60
lota love lítil,"['lota', 'love', 'lítil']",43
mr. blonde lítil,"['mr.', 'blond', 'lítil']",52
jj lítil,"['jj', 'lítil']",35
greenday lítil,"['greenday', 'lítil']",21
indian flirt lítil,"['indian', 'flirt', 'lítil']",33
hawaiian flirt lítil,"['hawaiian', 'flirt', 'lítil']",27
vanilla flirt lítil,"['vanilla', 'flirt', 'lítil']",78
icelandic flirt lítil,"['iceland', 'flirt', 'lítil']",31
kaffi curro lítil,"['kaffi', 'curro', 'lítil']",38
kaffi frappó lítil,"['kaffi', 'frappó', 'lítil']",40
elvis lítil,"['elvi', 'lítil']",15
good times,"['good', 'time']",18
dazed,['daze'],12
winston wolf,"['winston', 'wolf']",81
nice guy,"['nice', 'guy']",53
honey bunny,"['honey', 'bunni']",28
presley,['presley'],59
lota love ,"['lota', 'love']",42
mr. blonde ,"['mr.', 'blond']",51
jj ,['jj'],34
greenday ,['greenday'],20
indian flirt ,"['indian', 'flirt']",32
hawaiian flirt ,"['hawaiian', 'flirt']",26
vanilla flirt ,"['vanilla', 'flirt']",77
icelandic flirt ,"['iceland', 'flirt']",30
kaffi curro ,"['kaffi', 'curro']",37
kaffi frappó ,"['kaffi', 'frappó']",39
elvis ,['elvi'],14
espresso ,['espresso'],16
cappucino ,['cappucino'],3
caffe latte ,"['caff', 'latt']",2
macchiato ,['macchiato'],46
mocha ,['mocha'],47
kaffi ,['kaffi'],36
toppur kolsýrt vatn ,"['toppur', 'kolsýrt', 'vatn']",73
coke ,['coke'],10
coke lite  ,"['coke', 'lite']",11
toppur appelsínu ,"['toppur', 'appelsínu']",70
vatn 500 ml ,"['vatn', '500', 'ml']",80
toppur epla ,"['toppur', 'epla']",71
túmerikskot ,['túmerikskot'],76
bergtoppur stórógarberja ,"['bergtoppur', 'stórógarberja']",1
toppur ferstórju ,"['toppur', 'ferstórju']",72
vatn 330 ml ,"['vatn', '330', 'ml']",79
